PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),WindPower,TEMP(K),RH(%),PSFC(Pa),AQI,year,month,province
42.525375650364204,53.20202289281999,7.831438085327784,9.561735691987513,0.48642039542143584,62.68961498439126,-4.07073673257024,-3.0484536940686793,5.590501865404019,291.1360249739854,84.43150052029138,99639.35868886577,62.27200832466182,2013,1,海南省
62.37478072682728,74.26977623519804,15.801305022458147,22.84182196815027,0.9022654144548793,49.546655777868516,-2.8896651694569218,-4.043466721110656,5.880510948888117,285.29559371171894,69.19400204164965,99701.01850183749,85.03491220906493,2013,1,广东省
36.83553747600129,43.563902332389226,11.159194213697791,5.774380975915753,0.5113657878229133,67.23401087307772,2.8516208869542066,2.494774269583895,5.20490767918941,280.9486710893987,70.15001691790067,81636.53423574808,58.06890717965289,2013,1,云南省
82.95329816667174,94.06260679213159,19.582279042899273,12.172085372898362,0.8230196710346297,48.90864157368278,-2.5827165485999206,-2.071248365814356,5.0348744617272745,283.1967860508953,68.91645738955945,97627.60311361772,110.83579094585146,2013,1,广西壮族自治区
53.47693548387097,73.5091935483871,13.056774193548389,44.09596774193549,1.1729032258064516,61.56177419354841,-4.609193548387096,-5.481774193548386,8.013150513599582,288.4095161290322,71.74145161290323,101535.89499999999,76.46774193548387,2013,1,香港
22.074090815697556,27.7868378878159,6.402136839942469,16.559547976166012,0.2924244914731868,54.841880008218624,-1.338506266694062,-3.198148756934457,5.267460204641685,286.58425518800084,77.74312101910829,93360.45028559689,40.41195808506266,2013,1,台湾省
45.309933550803436,55.5531061978978,14.97673976078289,18.00113809351214,0.6138250573879425,50.68067657363779,-1.5695662679714868,-2.5383013169022584,3.912859853887927,281.4636583303129,76.51395372719584,96743.28889694336,64.15428295276065,2013,1,福建省
88.37818947980242,102.91353593224561,37.57347988541535,14.073021131730814,0.8996180512309542,46.56927222153028,-1.3210582471872792,1.1974596255241414,4.371752833730514,278.01300120396894,71.23585834682612,89592.88997342963,117.93481961223895,2013,1,贵州省
124.35228319619925,129.64268358178126,35.89270113953248,21.24172616793473,1.2072943849623023,39.39688332702171,-1.7680028918649087,-1.683644438324096,3.990172032787286,278.8270640685785,65.04603298103072,98232.48878713805,162.13512583055052,2013,1,湖南省
84.63206100504719,95.34018564845294,22.99851217906517,21.447587886767604,0.9107961378099629,41.468946675444364,-1.6103344305464122,-2.3757112135176652,4.200961825389954,279.22617160412557,71.37370550800965,99629.16444459073,113.06412113232388,2013,1,江西省
51.46497609675908,61.113871269360125,14.183182222624382,8.631455609344128,0.5748381064410595,63.809109170700786,2.795293399086097,0.36669260583027957,5.3428686974606,271.5599742116455,49.82754075615677,75596.15932422449,84.26981254430017,2013,1,四川省
2.5540908645063176,3.0554806218658372,0.3358525520775803,0.554773911550861,0.1279200230502355,78.92231875528748,7.127388457718761,0.4353959000012263,8.354604155685676,259.70785136278374,47.114808364291754,56900.623410821376,40.0891050869901,2013,1,西藏自治区
97.36846146953408,121.06921684587816,34.81621594982078,16.138995519713266,0.9852473118279567,44.13411469534051,-2.472474014336917,1.0136944444444442,3.6412716093000177,278.4323001792114,57.65724910394265,93776.76259498211,129.44955197132614,2013,1,重庆市
85.21329508551635,102.92799812369199,30.84873349209785,48.60386086454499,1.2746554088186477,34.99852926318828,-0.38325106444396345,-2.2463671790430824,4.138225167008688,277.5731673522408,75.02054052103628,99070.381952082,114.2052392292704,2013,1,浙江省
132.6001190334484,135.52494822044991,42.692992104114595,25.945724715311666,1.0946811887473715,39.53023449589335,-1.440731658929493,-0.7933706304804979,3.3708347153911156,276.5446173074634,56.76132960361863,97646.57937348727,171.34706185771535,2013,1,湖北省
114.36575992053118,134.17547446018722,36.531341036231495,40.267758665760454,1.6634056569247666,32.10425367281854,-1.0289407643645108,-1.2177163172478698,3.835699813838925,275.8953510743974,63.439727610184555,101356.27797459088,150.69869817535425,2013,1,安徽省
107.23335410557183,146.74013856304984,44.46496407624633,51.096063782991216,1.684178152492669,35.92887170087978,0.017330645161289727,-1.6316246334310838,4.500315445739123,275.1630659824047,68.17908431085044,102649.7592719941,142.0909090909091,2013,1,江苏省
74.87065085807879,92.0872726625365,33.01945310831019,19.274991098768076,1.0707405824966176,41.918624225592815,0.36060350352488735,-0.6472025208288827,3.476269384204991,270.940353200883,47.167012746564126,89441.68681905576,100.20017090365309,2013,1,陕西省
174.04726229143486,225.90339176863176,60.76158531701891,44.550316796440484,2.7295052280311465,23.71957864293659,-0.37735661846496127,-0.854724360400445,3.63390750800815,274.16245695216895,54.06315150166853,99864.1857156841,217.53859844271415,2013,1,河南省
90.31697580645162,98.06173387096774,33.28313172043011,58.73176075268819,1.477647849462366,31.792486559139785,0.40591397849462346,-2.761693548387097,5.235962604606136,277.69176075268825,76.02489247311826,102684.44342741933,121.56048387096774,2013,1,上海市
2.2125881470367585,2.831580782519572,0.8770802911995592,0.7619960271758076,0.1555816066692728,70.62574759887153,5.058908001648298,-0.23577073845926388,5.98232363860911,259.12847320985173,42.22477150977883,61865.33665405787,36.66407446932156,2013,1,青海省
21.228514986847564,25.35736795652775,7.724378028520002,5.460601377543957,0.40956320088605336,55.54744808251417,2.2172914647653337,0.15831198947805636,4.406934454544212,265.6170263394712,42.49995067838848,79008.97134085561,45.0225494946698,2013,1,甘肃省
